epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8637,1.99525,1.54519,1.31651,0.47333,0.58197,0.48675,0.20302,2.34436,12.7367,1.61798,0.07723,0.00023,0.00023
2,58.4878,1.79484,1.0513,1.18737,0.41,0.5041,0.38641,0.11609,2.47194,7.37505,1.45176,0.0534684,0.000468449,0.000468449
3,79.1766,1.69239,0.84103,1.1466,0,0,0,0,nan,nan,nan,0.0297053,0.000705314,0.000705314
4,98.9001,1.63992,0.7986,1.16599,0,0,0,0,nan,nan,nan,0.00594059,0.000940595,0.000940595
5,118.831,1.6768,0.78227,1.16825,0,0,0,0,4.38599,73.108,2.96209,0.0009868,0.0009868,0.0009868
6,138.698,1.67566,0.74324,1.14857,0.59,0.72541,0.54259,0.26434,1.94747,1.3526,1.33642,0.0009835,0.0009835,0.0009835
7,159.086,1.72114,0.7417,1.17474,0.70429,0.75,0.79204,0.35386,2.02783,0.99017,1.2872,0.0009802,0.0009802,0.0009802
8,179.519,1.66592,0.78783,1.17428,0.71667,0.88115,0.7806,0.36951,1.81345,0.89297,1.20944,0.0009769,0.0009769,0.0009769
9,199.541,1.59946,0.7275,1.12175,0.59333,0.72951,0.54977,0.25586,1.76515,1.05767,1.20697,0.0009736,0.0009736,0.0009736
10,219.629,1.54245,0.68948,1.0947,0.68,0.83607,0.63479,0.30546,1.74499,1.38953,1.20637,0.0009703,0.0009703,0.0009703
11,239.482,1.53867,0.70202,1.1138,0.94114,0.95082,0.95908,0.50546,1.72835,0.77231,1.22707,0.000967,0.000967,0.000967
12,259.797,1.56393,0.68161,1.11249,0.95077,0.94975,0.96215,0.4828,1.77618,0.73568,1.22128,0.0009637,0.0009637,0.0009637
13,279.593,1.47729,0.65208,1.08731,0.95388,0.94262,0.95827,0.48842,1.75408,0.71305,1.22396,0.0009604,0.0009604,0.0009604
14,299.072,1.52353,0.66452,1.11015,0.95862,0.94935,0.96945,0.50533,1.70339,0.68439,1.21687,0.0009571,0.0009571,0.0009571
15,318.593,1.47932,0.62909,1.09414,0.93584,0.95646,0.97051,0.48729,1.7642,0.82253,1.19533,0.0009538,0.0009538,0.0009538
16,362.374,1.51848,0.64788,1.1012,0.93453,0.95492,0.96238,0.50914,1.68673,0.71931,1.16912,0.0009505,0.0009505,0.0009505
